dataset_id,file_name,relative_path,parent_folder,file_size_mb,encoding,delimiter,total_rows,total_columns,numeric_columns_count,categorical_columns_count,columns_with_nulls_count,column_names
kiwi_d1,Kiwi D1.csv,AllSmaples-Report/AllSmaples-Report/Kiwi D1.csv,AllSmaples-Report,0.5531,utf-8,",",13812,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
kiwi_d2,Kiwi D2.csv,AllSmaples-Report/AllSmaples-Report/Kiwi D2.csv,AllSmaples-Report,0.5703,utf-8,",",13416,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
kiwi_d3,Kiwi D3.csv,AllSmaples-Report/AllSmaples-Report/Kiwi D3.csv,AllSmaples-Report,0.5442,utf-8,",",12870,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
kiwi_d4,Kiwi D4.csv,AllSmaples-Report/AllSmaples-Report/Kiwi D4.csv,AllSmaples-Report,0.4858,utf-8,",",11419,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
kiwi_d5,Kiwi D5.csv,AllSmaples-Report/AllSmaples-Report/Kiwi D5.csv,AllSmaples-Report,0.4874,utf-8,",",10260,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
mandarin,Mandarin.csv,AllSmaples-Report/AllSmaples-Report/Mandarin.csv,AllSmaples-Report,0.6441,utf-8,",",14964,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
mushroom_d1,Mushroom D1.csv,AllSmaples-Report/AllSmaples-Report/Mushroom D1.csv,AllSmaples-Report,0.31,utf-8,",",7719,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
mushroom_d2,Mushroom D2.csv,AllSmaples-Report/AllSmaples-Report/Mushroom D2.csv,AllSmaples-Report,0.5825,utf-8,",",13733,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
mushroom_d3,mushroom D3.csv,AllSmaples-Report/AllSmaples-Report/mushroom D3.csv,AllSmaples-Report,0.5398,utf-8,",",12954,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
mushroom_d4,Mushroom D4.csv,AllSmaples-Report/AllSmaples-Report/Mushroom D4.csv,AllSmaples-Report,0.6301,utf-8,",",15348,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
mushroom_d5,Mushroom D5.csv,AllSmaples-Report/AllSmaples-Report/Mushroom D5.csv,AllSmaples-Report,0.4753,utf-8,",",11589,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
pear_d1,Pear D1.csv,AllSmaples-Report/AllSmaples-Report/Pear D1.csv,AllSmaples-Report,0.8164,utf-8,",",19651,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
pear_d2,Pear D2.csv,AllSmaples-Report/AllSmaples-Report/Pear D2.csv,AllSmaples-Report,0.5845,utf-8,",",13449,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
pear_d3,Pear D3.csv,AllSmaples-Report/AllSmaples-Report/Pear D3.csv,AllSmaples-Report,0.4978,utf-8,",",11750,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
pear_d4,Pear D4.csv,AllSmaples-Report/AllSmaples-Report/Pear D4.csv,AllSmaples-Report,0.5565,utf-8,",",13176,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
pear_d5,Pear D5.csv,AllSmaples-Report/AllSmaples-Report/Pear D5.csv,AllSmaples-Report,0.4345,utf-8,",",9725,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
red_apple_d1,Red Apple D1.csv,AllSmaples-Report/AllSmaples-Report/Red Apple D1.csv,AllSmaples-Report,1.0054,utf-8,",",24055,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
red_apple_d2,Red Apple D2.csv,AllSmaples-Report/AllSmaples-Report/Red Apple D2.csv,AllSmaples-Report,0.6803,utf-8,",",15027,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
red_apple_d3,Red apple D3.csv,AllSmaples-Report/AllSmaples-Report/Red apple D3.csv,AllSmaples-Report,0.5752,utf-8,",",13028,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
red_apple_d4,Red Apple D4.csv,AllSmaples-Report/AllSmaples-Report/Red Apple D4.csv,AllSmaples-Report,0.571,utf-8,",",13295,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
red_apple_d5,Red Apple D5.csv,AllSmaples-Report/AllSmaples-Report/Red Apple D5.csv,AllSmaples-Report,0.5736,utf-8,",",13168,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
strawberry_d1,Strawberry D1.csv,AllSmaples-Report/AllSmaples-Report/Strawberry D1.csv,AllSmaples-Report,0.3038,utf-8,",",7463,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
strawberry_d2,Strawberry D2.csv,AllSmaples-Report/AllSmaples-Report/Strawberry D2.csv,AllSmaples-Report,0.5782,utf-8,",",13095,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
strawberry_d3,Strawberry D3.csv,AllSmaples-Report/AllSmaples-Report/Strawberry D3.csv,AllSmaples-Report,0.6264,utf-8,",",13082,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
strawberry_d4,Strawberry D4.csv,AllSmaples-Report/AllSmaples-Report/Strawberry D4.csv,AllSmaples-Report,0.5401,utf-8,",",11294,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
strawberry_d5,Strawberry D5.csv,AllSmaples-Report/AllSmaples-Report/Strawberry D5.csv,AllSmaples-Report,0.6597,utf-8,",",13486,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
tomato_d1,Tomato D1.csv,AllSmaples-Report/AllSmaples-Report/Tomato D1.csv,AllSmaples-Report,0.6123,utf-8,",",14635,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
tomato_d2,Tomato D2.csv,AllSmaples-Report/AllSmaples-Report/Tomato D2.csv,AllSmaples-Report,0.5286,utf-8,",",12080,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
tomato_d3,Tomato D3.csv,AllSmaples-Report/AllSmaples-Report/Tomato D3.csv,AllSmaples-Report,0.5772,utf-8,",",13374,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
tomato_d4,Tomato D4.csv,AllSmaples-Report/AllSmaples-Report/Tomato D4.csv,AllSmaples-Report,0.5331,utf-8,",",11766,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
tomato_d5,tomato D5.csv,AllSmaples-Report/AllSmaples-Report/tomato D5.csv,AllSmaples-Report,0.5448,utf-8,",",12035,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
tomatobanana,TomatoBanana.csv,AllSmaples-Report/AllSmaples-Report/TomatoBanana.csv,AllSmaples-Report,1.011,utf-8,",",23159,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
tomatomandarin,TomatoMandarin.csv,AllSmaples-Report/AllSmaples-Report/TomatoMandarin.csv,AllSmaples-Report,0.9392,utf-8,",",21542,10,10,0,0,"Ticks, MQ2, MQ3, MQ4, MQ5, MQ6, MQ7, MQ8, MQ9, MQ135"
food,food.csv,food/food.csv,food,0.0005,utf-8,",",31,4,3,1,0,"gas_value, presence, storageDays, status"
