Food_Name,Temperature,Humidity,Methane,CO2,Storage_Days,Spoiled
Mushroom,11.65,68.55,46.77,869.88,3.7,1
Fish,9.83,63.57,45.98,925.83,2.8,1
Mushroom,6.04,57.98,4.61,428.56,0.6,0
Milk,3.84,57.84,3.67,399.61,0.9,0
Spinach,5.2,50.26,4.67,400.01,1.2,0
Spinach,8.99,76.57,44.34,747.02,2.7,1
Spinach,18.71,86.5,116.59,1679.55,6.9,2
Beef,23.54,86.98,113.32,1803.76,6.4,2
Eggs,11.16,66.24,31.95,766.96,5.3,1
Yogurt,8.6,64.8,43.44,693.02,4.9,1
Apple,18.48,78.98,125.42,1851.54,10,2
Spinach,3.79,65.4,3.78,396.23,1.3,0
Strawberry,8.24,67.19,45.89,863.69,3.4,1
Cheese,8.4,62.34,41.75,756.42,6.5,1
Eggs,5.99,44.81,1.85,373.98,4.6,0
Strawberry,4.8,54.48,3.59,422.44,1.5,0
Milk,4.29,45.57,4.53,395.99,1.1,0
Fish,7.84,64.19,47.16,823.32,2.5,1
Bread,18.97,51.55,3.49,410.16,1.4,0
Chicken,1.4,55.36,4.84,,1,0
Cheese,2.22,48.28,3.17,405.19,3.3,0
Yogurt,19.88,80.33,99.4,,9.5,2
Beef,22.69,77.77,132.03,1911.43,5.2,2
Eggs,21.44,78.13,98.04,1644.34,13.8,2
Mushroom,24.87,89.27,114.26,2194.31,5.1,2
Strawberry,4.31,51.17,4.82,419.48,1.1,0
Chicken,4.1,49.37,5.6,425.19,1.9,0
Spinach,11.6,62.25,48.25,795.62,3,1
Strawberry,11.59,65.66,40.8,922.72,2.7,1
Beef,10.38,70.48,32.46,869.67,3.5,1
Strawberry,3.32,51.93,5.39,408.92,1.2,0
Strawberry,19.54,81.15,129.72,1850.86,8.4,2
Chicken,3.82,49.88,2.42,393.05,0.2,0
Strawberry,10.8,63.55,37.39,,2.8,1
Spinach,20.79,82.67,118.85,1921.94,7.7,2
Apple,13.72,64.38,28.95,762.36,3.9,1
Beef,22.84,84.08,150.11,2054.55,6.4,2
Milk,9.75,65.84,35.41,771.74,4.3,1
Tomato,23.9,78.67,107.06,1770.89,8.3,2
Cheese,16.37,76.42,104.16,1801.26,15,2
Potato,7.22,48.56,2.77,401.28,4.2,0
Bread,19.24,47.04,2.54,387.53,1,0
Apple,24.07,84.54,118.47,1822.92,11.1,2
Cheese,9.75,65.91,33.86,704.84,6.4,1
Potato,16.63,62.05,38,755.99,8,1
Mushroom,10.92,66.48,43.21,837.19,3.3,1
Milk,3.46,47.43,4.87,447.47,1,0
Bread,22.67,57.41,27.68,709.41,3.8,1
Mushroom,22.11,89.08,125.07,1803.96,5.6,2
Milk,4.52,46.79,2.98,407.06,1,0
Mushroom,4.86,61.33,4.92,403.63,1.1,0
Apple,4.35,51.54,4.02,379.28,2.1,0
Orange,12.05,66.11,36.51,822.74,5.5,1
Apple,4.81,49.66,3.84,382.71,2.4,0
Cheese,9.28,58.7,34.19,739,6.6,1
Beef,2.64,52.05,3.87,404.6,1.4,0
Chicken,4.38,47.44,6.62,465.9,0.9,0
Strawberry,4.41,56.06,4.35,433.76,0.9,0
Eggs,5.96,54.07,4.26,388.73,3.4,0
Spinach,19.06,78.3,115.57,1869.97,6.8,2
Potato,24.91,78.39,87.3,1573.15,12.2,2
Beef,23.64,86.53,134.26,2019.38,5.9,2
Cheese,13.96,72.72,89.72,1573.9,14.7,2
Cheese,4.58,46.53,1.99,389.88,3.3,0
Cheese,17.5,80.22,97.94,1752.81,14.5,2
Mushroom,12.89,65.55,47.08,895.37,2.3,1
Apple,20.77,72.39,106.88,1738.6,8.6,2
Fish,10.33,73.63,49.22,830.59,2.5,1
Tomato,,54.5,2.3,358.66,1.5,0
Milk,3.97,43.19,3.79,358.09,1,0
Chicken,3.17,58.82,4.8,401.12,1.5,0
Chicken,10.78,67.21,43.17,,2.6,1
Spinach,9.23,67.04,,886.3,3.6,1
Yogurt,17.65,65.2,101.66,1797.58,7.9,2
Yogurt,3.78,53.36,3.5,419.56,1.7,0
Cheese,8.96,65.68,30.54,739.3,7.7,1
Yogurt,8.21,62.51,38.87,764.61,5.2,1
Fish,3.24,64.2,6.2,409.4,1,0
Orange,5.22,53.25,3.45,394.42,2.4,0
Eggs,9.98,65.72,33.71,737.37,8.6,1
Potato,14.14,62.93,24.44,691.16,7.2,1
Fish,1.45,53.13,5.57,437.49,0.8,0
Eggs,6.79,50.52,2.29,404.04,3.1,0
Yogurt,5.12,53.29,4.07,443.71,2.3,0
Eggs,21.2,84.52,108.57,1641.59,12.9,2
Cheese,12.37,69.77,106.83,1624.47,14,2
Fish,2.81,51.91,3.64,387.52,0.5,0
Tomato,12.63,66.22,49.23,853.82,5.5,1
Bread,25.44,67.81,117.41,1568.2,8.8,2
Apple,2.76,47.64,3.83,398.32,1.3,0
Yogurt,4.16,54.88,6.1,441.22,2.6,0
Beef,4.37,60.3,4.61,421.29,0.5,0
Beef,3.43,52.02,5.77,408.16,0,0
Tomato,19.18,86.28,112.59,1912.52,8.8,2
Potato,18.83,71,91.28,1509.09,12.9,2
Chicken,10.3,68.7,46.37,903.04,3.5,1
Tomato,7.07,44.54,3.98,417.08,1.7,0
Chicken,21.27,76.34,148.96,1994.12,5.7,2
Tomato,7.24,51.39,6.72,405.02,1.7,0
Potato,8,44.98,4.08,407.43,4.6,0
Tomato,9.39,48.84,5.02,412.63,2.8,0
Orange,21.17,70.05,107.4,1825.69,11.5,2
Eggs,10.89,59.48,33.7,768.31,7.2,1
Yogurt,8.65,61.88,31.27,811.7,4.9,1
Cheese,8.07,72.04,32.36,735.34,6,1
Bread,18.97,47.98,1.42,398.22,1.2,0
Spinach,3.35,48.04,3.96,367.16,1.4,0
Potato,22.68,66.71,104.94,1406.22,15,2
Bread,24.61,69.69,97.05,1509.89,5.6,2
Spinach,12.37,66.26,40.45,810.91,3,1
Bread,18.32,47.92,3.51,394.13,2,0
Yogurt,15.87,83.59,119.76,1758.26,9.4,2
Spinach,3.19,56.77,3.53,428,2.1,0
Cheese,3.93,45.52,4.7,399.79,3.9,0
Spinach,4.04,54.72,4.1,417.7,0.7,0
Apple,4.19,52.43,3.35,404.27,1.9,0
Chicken,9.18,66.19,38.87,761.14,3.1,1
Chicken,11.93,70.74,49.61,913.26,3.1,1
Cheese,4.02,46.56,4.79,406.93,2.6,0
Orange,5.69,43.49,4.53,443.62,2.3,0
Chicken,11.25,73.05,38.02,725.95,3,1
Cheese,8.83,62.12,41.63,762.4,8.9,1
Yogurt,2.77,46.53,3.13,395.32,2.7,0
Bread,18.32,41.39,2.37,393.2,1.6,0
Yogurt,15.3,71.56,104.03,1793.35,9.9,2
Apple,21.09,80.36,119.99,1847.35,11.5,2
Mushroom,5.27,53.31,2.7,435.07,0.6,0
Strawberry,10.98,62.02,34.71,858.23,2.5,1
Strawberry,19.94,82.91,101.08,1982.86,7,2
Fish,2.76,58.89,4.91,448.98,1,0
Cheese,12.23,74.17,100.42,1827.78,12.8,2
Mushroom,11.3,63.58,41.13,904.99,2.3,1
Milk,8.47,58.49,44.42,755.75,3.4,1
Spinach,10.3,69.07,31.17,825.36,3.1,1
Eggs,4.37,56.24,4.4,424.21,3.5,0
Yogurt,16.73,85.34,108.28,1711.83,10.4,2
Beef,11.98,70.22,50.77,866.66,3.8,1
Cheese,4.48,45.06,3.26,418.2,3.1,0
Apple,11.98,64.17,28.09,790.68,4.9,1
Beef,21.36,88.27,130.62,2091.32,5.7,2
Fish,19.39,82.4,154.01,1976.5,4,2
Strawberry,10.12,67,43.35,848.09,2.9,1
Chicken,2.55,45.42,5.87,422.69,1.8,0
Beef,2.97,54.11,6.23,436.66,0.8,0
Beef,3.12,53.11,7.12,470.54,1.1,0
Chicken,17.11,77.14,142.66,1700.33,6.3,2
Spinach,18.54,97.49,104.67,1707.19,7.6,2
Cheese,15.58,75.4,98.34,1614.31,12.9,2
Spinach,3.99,62.7,6.06,461.13,1.4,0
Milk,16.07,78.63,101.79,1519.58,5.6,2
Fish,18.31,78.18,130.45,1994.28,3.1,2
Eggs,12.76,61.21,30.12,708.08,7.4,1
Fish,16.07,91.6,150.41,1863.06,4.8,2
Apple,13.46,64.62,36.87,759.06,4.9,1
Beef,2.67,54.24,5.53,390.81,1.4,0
Fish,2.43,51.01,5.12,437.75,0.5,0
Yogurt,3.86,48.84,3.28,373.46,2,0
Chicken,2.26,49.61,6.27,392.07,1.2,0
Fish,10.15,67.46,53.06,818.58,2.9,1
Strawberry,4.52,57.82,6.76,416.61,1.8,0
Spinach,4.71,60.09,3.54,400.78,1.5,0
Fish,1.2,55.15,5.94,447.36,1.2,0
Apple,12.15,61.51,46.95,716.38,3.9,1
Orange,22.96,78.65,108.93,1532.44,10.1,2
Potato,15.77,68.23,33.95,690.83,7.7,1
Strawberry,18.2,78.62,116.01,1808.4,4.8,2
Cheese,18.13,78.32,102.98,1522.37,14.9,2
Tomato,12.75,68.41,34.71,826.27,4.1,1
Beef,10.8,67.61,46.97,913.01,3.8,1
Strawberry,11.88,57.85,54.55,881.71,2.8,1
Apple,23.98,88.83,126.13,1641.38,10,2
Milk,4.6,49.87,4.44,412.74,0.6,0
Fish,20.52,85.46,139.46,1842.05,4.8,2
Potato,15.12,63.96,33.54,728.37,8.1,1
Cheese,2.69,51.57,3.81,407.93,1.7,0
Eggs,14.04,61.29,34.31,759.36,6.7,1
Eggs,20.84,82.94,101.78,1705.83,13.9,2
Spinach,21.41,93.25,121.88,1771.55,7,2
Milk,15.61,71.24,123.99,1675.62,6.9,2
Chicken,8.44,67.55,36.87,749.05,2.6,1
Apple,11.7,59.57,39.43,867.44,5.2,1
Eggs,15.57,76.91,105.81,1582.97,13.4,2
Yogurt,4.21,45.6,5.2,392.76,1.8,0
Eggs,5.45,41.58,4.27,375.35,4.1,0
Cheese,10.13,58.96,37.67,732.2,6.1,1
Potato,11,65.54,27.72,767.68,8.2,1
Fish,7.54,72.21,53.12,841.22,3,1
Strawberry,18.46,78.07,119.9,1777.48,4.8,2
Strawberry,1.89,58.59,6.7,446.95,1.3,0
Eggs,19.17,76.12,93.84,,13.6,2
Mushroom,11.59,72.19,50.96,844.83,2.4,1
Apple,22.91,73.88,106.91,1780.38,10.6,2
Potato,8.1,45.95,5.79,384.57,4.3,0
Apple,11.3,59.24,38.26,775.68,5.1,1
Strawberry,17.69,82.67,113.75,1943.8,6.2,2
Eggs,10.85,60.93,30.12,745.97,8.2,1
Mushroom,4.43,58.64,3.85,357.95,1.2,0
Cheese,4.86,51.74,6.33,391.01,2.5,0
Apple,6.18,52.98,5.1,377.98,1.7,0
Milk,6.36,69.89,30.4,689.67,3.4,1
Tomato,14.14,69.33,39.22,782.64,4.7,1
Mushroom,11.28,76.97,43.96,881.82,2.9,1
Milk,6.17,68.57,37.9,769.39,2.2,1
Orange,5.86,54.17,5.3,399.56,3.7,0
Strawberry,5.26,51.38,6.98,441.83,1.3,0
Fish,19.87,80.63,149.42,1934.93,4.3,2
Apple,25.04,79.41,117.34,1765.5,8.4,2
Strawberry,9.65,68.87,42.09,810.59,3.2,1
Apple,13.29,56.46,37.48,801.06,6.2,1
Chicken,22.41,76.1,146.08,1881.91,4.7,2
Beef,18.31,90.83,140.45,1812.04,7.8,2
Yogurt,9.71,60.98,35.49,716.15,6.4,1
Chicken,,46.85,5.29,482.02,0.4,0
Apple,5.82,48.28,4.4,433.55,1.7,0
Bread,21.61,55.24,35.01,783.61,3.3,1
Beef,11.46,73.24,36.46,943.29,3.5,1
Yogurt,3.64,55.59,5.13,365.78,2.4,0
Yogurt,4.54,41.28,4.56,389.7,2.6,0
Potato,20.29,78.61,92.65,1537.7,10.4,2
Spinach,4.85,59.64,4.07,419.27,1.2,0
Apple,24.15,81.23,115.62,1911.85,8.7,2
Chicken,16.12,85.22,127.5,1763.78,6.1,2
Beef,11.44,72.4,39.38,835.45,3.7,1
Orange,7.11,,3.51,417.98,2.7,0
Potato,21.17,76.44,91.57,1672.02,14.1,2
Bread,21.4,58.7,26.08,673.14,3.3,1
Bread,22.62,42.02,3.64,402.8,0.9,0
Milk,8.42,63.18,34.88,728.21,3.5,1
Fish,2.38,51.56,8.16,437.18,0.1,0
Strawberry,9.73,75.65,44.15,790.13,3.3,1
Strawberry,14.76,83.34,116.48,1824.93,4.9,2
Tomato,13.48,52.94,36.29,826.66,5.8,1
Apple,26.93,75.9,120.06,1713.05,9.7,2
Mushroom,12.11,69.21,55.2,827.69,2.4,1
Cheese,16.33,73.63,104.31,1785.98,13.7,2
Mushroom,22.04,84.95,131.13,1789.92,6.6,2
Potato,6.68,46.8,3.08,411.49,4.1,0
Apple,23.03,73.91,111.84,1776.24,10.1,2
Bread,22.84,69.78,93.69,1674.66,10.1,2
Potato,6.91,50.2,1.98,394.52,3.7,0
Beef,21.82,74.06,131.01,1943.02,6.7,2
Apple,5.33,48.63,5.26,438.25,1.9,0
Beef,2.58,53.8,7.21,416.04,0.6,0
Eggs,5.96,49.58,4.76,380.05,3.1,0
Orange,13.52,61.11,32.26,804.62,5.7,1
Bread,20.04,45.17,1.94,386.32,1.3,0
Potato,8.07,51.9,3.32,412.43,4.1,0
Potato,26,79.95,84.67,1562.01,15,2
Fish,7.39,70.39,63.56,796.45,3.3,1
Fish,21.17,83.68,117.61,2025.44,4.9,2
Eggs,4.83,50.77,3.03,363.74,2.9,0
Milk,4.31,52.06,5.3,352.03,1.4,0
Apple,21.28,81.04,123.89,1668.65,9.6,2
Cheese,4.47,47.71,4.35,373.55,3.7,0
Potato,14.93,60.01,35.54,751.08,7.2,1
Potato,23.41,81.65,82.31,1363.31,12.5,2
Fish,1.42,57.6,5.02,405.29,1.3,0
Orange,14.53,55.97,43.83,872.45,5.9,1
Chicken,9.55,57.65,37.06,844.59,2.8,1
Spinach,3.74,56.52,5.8,395.79,1.3,0
Mushroom,11.87,68.8,54.3,834.88,3.5,1
Orange,16.13,69.04,36.2,766.88,5.3,1
Bread,20.19,38.78,5.26,384.54,1.5,0
Orange,13.35,57.29,42.12,815.85,5.8,1
Chicken,10.49,66.71,45.07,811.37,3.1,1
Eggs,11.54,57.8,33.57,644.93,8,1
Eggs,17.6,68.51,95.25,1645.6,12.7,2
Apple,23.69,78.97,113.35,1739.51,11.8,2
Milk,3.71,60.26,6.04,371.78,1.4,0
Spinach,18.89,85.05,101.09,1777.66,9.3,2
Tomato,21.58,86.17,122.41,1752.18,10.3,2
Beef,2.71,53.25,6.51,448,0.9,0
Cheese,5.89,43.23,3.5,433.41,2.7,0
Tomato,8.27,48.54,3.02,404.52,2.4,0
Orange,5.49,48.03,3.6,424.45,2.1,0
Chicken,9.98,65.74,40.12,928.8,2.2,1
Spinach,4.37,57.2,3.7,461.06,1.7,0
Spinach,18.76,87.55,113.87,1746,8,2
Tomato,14.77,71.85,25.68,845.02,6.1,1
Bread,18.47,46.1,2.88,411.52,1.3,0
Milk,16.35,77.1,138.28,1747.5,8.9,2
Potato,14.91,61.94,30.78,754.07,6,1
Potato,9.08,51.13,3.66,409.65,3.2,0
Bread,20.3,45.48,1.87,426.27,2.5,0
Milk,7.72,64.48,35.24,737.27,3.3,1
Chicken,8.61,69.32,41.77,891.85,2.8,1
Chicken,8.7,64,47.63,833.97,2.6,1
Mushroom,24.37,79.57,144.51,2007.89,6.8,2
Orange,14,59.2,34.6,,6.9,1
Fish,19.15,82.54,130.3,1820.08,4.5,2
Spinach,10.78,69.25,47.72,942.22,4.5,1
Fish,7.59,64.64,44.79,941.29,2.9,1
Tomato,7.61,52,5.51,431.76,2.7,0
Strawberry,10.4,64.59,45.22,825.4,3.3,1
Yogurt,8.94,67.27,41.02,756.45,6.5,1
Orange,13.39,64.18,44.81,901.67,7,1
Milk,4.36,48.98,4.44,418.07,1.2,0
Fish,8.87,64.82,51.92,837.15,1.7,1
Apple,4.21,46.57,3.3,412.45,1.4,0
Apple,10.7,68.29,42.97,820.04,6,1
Potato,7.34,53.15,2.86,425.64,4.2,0
Spinach,18.32,91.02,114.06,1654.52,8.2,2
Apple,5.67,44.68,3.93,402.54,1.6,0
Potato,13.01,62.74,35.08,771.63,7.5,1
Eggs,12.04,67.09,27.87,778.35,7,1
Eggs,4.76,48.19,3.84,370.41,3,0
Cheese,15.4,79.27,106.47,1608.08,15,2
Fish,12.83,88.01,147.33,1963.26,5.2,2
Potato,23.34,75.53,94.67,1572.25,13.6,2
Milk,15.82,72.92,109.75,1642.55,6.3,2
Fish,8.48,62.62,39.43,877.61,3,1
Bread,24.47,78.83,103.14,1517.28,7.2,2
Apple,19.22,81.39,120.5,1753.68,9.3,2
Chicken,19.91,86.64,137.5,1965.56,6.3,2
Milk,16.76,73.26,104.22,1609.21,6.7,2
Yogurt,10.49,59.06,30.41,675.99,5.5,1
Potato,13.98,68.62,37.06,677.03,7.9,1
Chicken,11.53,63.37,50.95,701.26,3,1
Apple,11.26,67.28,36.14,845.46,5.4,1
Eggs,10.1,64.58,34.76,664.9,7.4,1
Orange,5.54,49.9,,430.5,3.6,0
Yogurt,8.23,59.97,32.78,813.77,4.7,1
Spinach,11.4,72.56,40.33,915.62,3.2,1
Strawberry,4.44,53.6,5.2,356.75,0.9,0
Cheese,2.61,48.03,3.93,457.61,3.5,0
Fish,1.18,55.8,6.63,422.52,0.8,0
Mushroom,11.33,71.8,45.57,884.41,3.4,1
Mushroom,5.81,58.43,4.76,438.54,0.8,0
Milk,2.02,43.05,2.13,414.06,1.1,0
Yogurt,4.63,52.07,5.04,428.26,2.5,0
Chicken,3.77,58.55,8.12,411.87,1.6,0
Spinach,3.53,52.89,5.66,412.55,0.8,0
Mushroom,3.8,54.91,3.24,433.39,0.7,0
Chicken,9.66,63.96,36.81,770.99,3.5,1
Cheese,9.33,50.21,32.83,824.64,7.5,1
Chicken,24.25,81.71,134.51,1794.04,4.8,2
Strawberry,4.29,50.43,9,395.3,0.9,0
Orange,6.08,51.76,4.86,363.48,3.8,0
Chicken,2.87,41.29,5,384.54,1.5,0
Tomato,14.41,71.38,47.16,794.87,5.2,1
Potato,9.14,50.89,2.18,423.89,4,0
Apple,4.21,55.66,2.09,388.33,1.7,0
Chicken,11.05,65.25,40.89,912.61,3.4,1
Eggs,4.71,48.93,1.87,390.42,3,0
Eggs,9.45,54.39,30.01,792.77,7.5,1
Beef,10.28,80.97,39.57,892.99,3.2,1
Apple,24.43,79.43,112.61,1856.02,9.8,2
Potato,8.74,49.56,0.37,438.12,4.4,0
Eggs,4.69,53.46,2.03,376.77,2.2,0
Apple,11.76,60.35,36.55,719.18,4.5,1
Potato,8.46,55.46,3.04,385.04,4.4,0
Orange,7.18,52.49,4.51,386.16,3,0
Eggs,11.29,51.18,32.14,826.23,6.5,1
Milk,2.55,47.34,3.3,427.55,2.1,0
Strawberry,4.12,48.59,3.18,435.78,1.2,0
Strawberry,11.41,62.36,51.79,839.59,2.6,1
Fish,13.89,82.43,133.69,1821.49,5.4,2
Beef,2.45,49.19,4.62,379.52,0.8,0
Mushroom,11.35,68.78,46.29,933.8,3.5,1
Chicken,16.87,87.47,142.99,1990.92,5.6,2
Yogurt,5.17,46.41,5.07,425.91,2.2,0
Fish,6.84,69.01,55,872.89,2.5,1
Spinach,3.7,52.89,3.9,439.96,1.2,0
Cheese,16.71,65.55,102.75,1751.36,15,2
Milk,3.11,51.13,4.78,379.76,0.3,0
Potato,6.65,43.59,3.7,396.87,3.7,0
Fish,16.2,90.45,137.31,1986.78,4.3,2
Strawberry,8.57,70,42.42,838.62,3.2,1
Fish,2.78,59.61,4.3,413.16,0.5,0
Orange,22.33,76.99,108.75,1704.4,10.7,2
Spinach,25.02,74.27,116.19,1614.03,7.1,2
Mushroom,10.29,69.62,39.55,906.82,2.3,1
Cheese,2.91,45.38,4.36,404.88,2.8,0
Eggs,5.62,38.87,2.74,394.29,3.1,0
Beef,21.1,85.17,140.19,2161.75,7.1,2
Spinach,2.78,58.3,3.84,395.36,0.9,0
Mushroom,4.69,58.73,6.1,392.11,0.9,0
Milk,3.59,47.67,2.46,373.09,0.9,0
Beef,3.49,52.02,4.19,408.13,0.5,0
Chicken,10.88,74.42,45.49,889.65,2.6,1
Apple,5.22,47.7,4.95,388.96,1.9,0
Mushroom,3.85,60.35,3.96,410.6,0.7,0
Bread,19.62,47.62,3.29,419.3,1.1,0
Spinach,3.96,59.35,3,438.54,2.1,0
Cheese,3.07,59.53,3.67,356.48,2.3,0
Bread,19.69,43.15,2.16,369.15,0.8,0
Tomato,15.92,67.52,45.71,765.72,4.7,1
Eggs,3.94,45.81,4.02,385.4,2.9,0
Spinach,3.43,57.91,3.39,440.67,1.3,0
Beef,13.91,73.99,45.69,864.1,4.3,1
Orange,13.39,64.4,47.57,800.73,4.3,1
Orange,13.21,66.69,38.57,729.78,5.9,1
Spinach,22.97,76.91,99.07,1687.91,7.9,2
Beef,1.36,53.48,6.74,415.04,0.4,0
Apple,5.13,43.64,4.15,382.73,2.2,0
Cheese,3.96,44.95,4.55,396.33,3.2,0
Chicken,3.16,56.01,5.86,420.1,0.2,0
Tomato,22.12,68.81,103.48,1914.86,8.4,2
Orange,14.22,58.36,35.68,791.22,7.1,1
Cheese,17.58,75.9,101.86,1686.99,15,2
Chicken,19.94,78.36,119.45,1865.64,6.2,2
Beef,18.99,88.25,125.94,2073.95,6.6,2
Potato,13.48,51.36,27.75,726.31,8,1
Orange,23.02,,117.23,1623.57,11.9,2
Apple,13.13,64.05,41.53,780.25,4.8,1
Cheese,3.76,54.98,4.15,,2.9,0
Eggs,10.36,61.5,30.91,669.65,6.1,1
Bread,24.15,80.63,76.18,1634.77,9.6,2
Apple,23.93,79.87,112.73,1820.51,11.5,2
Bread,23.08,58.74,34.05,728.91,4.1,1
Potato,23.27,74.81,127.91,1615.48,12.8,2
Spinach,12.01,73.48,35.89,726,3.3,1
Mushroom,12.34,66.29,43.85,837.56,2.2,1
Mushroom,5.66,61.59,5.3,429.7,0.8,0
Potato,7.88,52.69,1.63,374.56,3,0
Chicken,4.35,50.89,7.16,408.15,1.7,0
Orange,24.46,75.58,113.13,1621.58,11.7,2
Milk,16.62,87.4,123.78,1743.27,7.3,2
Eggs,4.75,55.29,2.14,374.24,2.3,0
Strawberry,4.86,55.85,5.67,417.83,0.6,0
Tomato,8.27,56.93,3.38,384.49,2.2,0
Fish,19.53,89.08,154.53,1969.26,3.7,2
Fish,9.62,73.94,46.27,861.77,1.4,1
